,1950,1960,1970,1980,1990
1972.,0.0,0.0,0.0,0.0,1.0
1973,0.0,0.0,8.0,8.0,0.0
1973.,0.0,0.0,0.0,24.0,0.0
1974,0.0,0.0,6.0,10.0,6.0
1975,0.0,0.0,4.0,0.0,4.0
1976,0.0,0.0,6.0,2.0,2.0
1976.,0.0,0.0,0.0,4.0,0.0
1977.,0.0,0.0,2.0,0.0,2.0
1978,0.0,0.0,4.0,10.0,12.0
1978.,0.0,0.0,2.0,2.0,2.0
1979,0.0,0.0,2.0,8.0,14.0
1979.,0.0,0.0,0.0,0.0,2.0
1980,0.0,0.0,2.0,5.0,49.0
1980.,0.0,0.0,2.0,0.0,2.0
19801,0.0,0.0,0.0,0.0,2.0
1981,0.0,0.0,0.0,10.0,2.0
1981.,0.0,0.0,0.0,2.0,2.0
1982,0.0,0.0,0.0,4.0,0.0
1982.,0.0,0.0,0.0,0.0,2.0
1983,0.0,0.0,0.0,16.0,2.0
1983.,0.0,0.0,0.0,6.0,2.0
1984,0.0,0.0,0.0,14.0,0.0
1984.,0.0,0.0,0.0,4.0,0.0
1985,0.0,0.0,0.0,10.0,2.0
1985.,0.0,0.0,0.0,1.0,3.0
1986,0.0,0.0,0.0,26.0,18.0
1986.,0.0,0.0,0.0,2.0,2.0
1987,0.0,0.0,0.0,28.0,6.0
1987.,0.0,0.0,0.0,2.0,0.0
1988,0.0,0.0,0.0,19.0,50.0
1988.,0.0,0.0,0.0,2.0,12.0
1989,0.0,0.0,0.0,19.0,31.0
1989.,0.0,0.0,0.0,2.0,8.0
1990,0.0,0.0,1.0,44.0,55.0
1990.,0.0,0.0,0.0,4.0,8.0
1991,0.0,0.0,0.0,0.0,20.0
1991.,0.0,0.0,0.0,2.0,10.0
1992,0.0,0.0,0.0,6.0,48.0
1992.,0.0,0.0,0.0,2.0,10.0
1993,0.0,0.0,0.0,0.0,32.0
1993.,0.0,0.0,0.0,0.0,6.0
1993.1,0.0,0.0,0.0,0.0,2.0
1994,0.0,0.0,0.0,0.0,20.0
1994.,0.0,0.0,0.0,0.0,12.0
1995,0.0,0.0,0.0,0.0,24.0
1995.,0.0,0.0,0.0,4.0,6.0
1996,0.0,0.0,0.0,8.0,22.0
1996.,0.0,0.0,0.0,0.0,11.0
1997,0.0,0.0,0.0,0.0,52.0
1997.,0.0,0.0,0.0,0.0,14.0
1998,0.0,0.0,0.0,0.0,30.0
1998.,0.0,0.0,0.0,0.0,29.0
1999,0.0,0.0,0.0,0.0,13.0
2,172.0,104.0,32.0,59.0,329.0
